,postcode, total_installations_quantity
0,3000,25.0
1,3002,20.0
2,3003,52.0
3,3004,6.0
4,3006,7.0
5,3008,
6,3011,379.0
7,3012,818.0
8,3013,305.0
9,3015,500.0
10,3016,224.0
11,3018,363.0
12,3019,306.0
13,3020,973.0
14,3021,682.0
15,3022,75.0
16,3023,3255.0
17,3024,3169.0
18,3025,262.0
19,3026,
20,3027,
21,3028,308.0
22,3029,11474.0
23,3030,12349.0
24,3031,156.0
25,3032,622.0
26,3033,376.0
27,3034,143.0
28,3036,42.0
29,3037,1660.0
30,3038,158.0
31,3039,152.0
32,3040,416.0
33,3041,245.0
34,3042,403.0
35,3043,203.0
36,3044,913.0
37,3045,
38,3046,1302.0
39,3047,300.0
40,3048,67.0
41,3049,199.0
42,3051,183.0
43,3052,208.0
44,3053,45.0
45,3054,60.0
46,3055,221.0
47,3056,519.0
48,3057,301.0
49,3058,1064.0
50,3059,1480.0
51,3060,213.0
52,3061,15.0
53,3062,
54,3063,15.0
55,3064,7613.0
56,3065,67.0
57,3066,44.0
58,3067,56.0
59,3068,347.0
60,3070,605.0
61,3071,463.0
62,3072,632.0
63,3073,1252.0
64,3074,270.0
65,3075,892.0
66,3076,2184.0
67,3078,288.0
68,3079,287.0
69,3081,506.0
70,3082,236.0
71,3083,842.0
72,3084,387.0
73,3085,185.0
74,3087,69.0
75,3088,327.0
76,3089,197.0
77,3090,67.0
78,3091,57.0
79,3093,63.0
80,3094,87.0
81,3095,239.0
82,3096,16.0
83,3097,70.0
84,3099,147.0
85,3101,243.0
86,3102,99.0
87,3103,337.0
88,3104,390.0
89,3105,177.0
90,3106,239.0
91,3107,153.0
92,3108,409.0
93,3109,406.0
94,3111,157.0
95,3113,104.0
96,3114,49.0
97,3115,67.0
98,3116,337.0
99,3121,350.0
100,3122,152.0
101,3123,114.0
102,3124,311.0
103,3125,429.0
104,3126,119.0
105,3127,275.0
106,3128,463.0
107,3129,308.0
108,3130,695.0
109,3131,423.0
110,3132,267.0
111,3133,297.0
112,3134,358.0
113,3135,310.0
114,3136,831.0
115,3137,227.0
116,3138,478.0
117,3139,277.0
118,3140,383.0
119,3141,81.0
120,3142,72.0
121,3143,43.0
122,3144,133.0
123,3145,332.0
124,3146,409.0
125,3147,484.0
126,3148,324.0
127,3149,1106.0
128,3150,1204.0
129,3151,157.0
130,3152,936.0
131,3153,277.0
132,3154,31.0
133,3155,241.0
134,3156,527.0
135,3158,43.0
136,3159,33.0
137,3160,83.0
138,3161,166.0
139,3162,371.0
140,3163,411.0
141,3165,1062.0
142,3166,391.0
143,3167,126.0
144,3168,469.0
145,3169,232.0
146,3170,341.0
147,3171,356.0
148,3172,134.0
149,3173,2323.0
150,3174,365.0
151,3175,752.0
152,3177,125.0
153,3178,400.0
154,3179,78.0
155,3180,157.0
156,3181,90.0
157,3182,99.0
158,3183,141.0
159,3184,95.0
160,3185,102.0
161,3186,310.0
162,3187,318.0
163,3188,281.0
164,3189,83.0
165,3190,182.0
166,3191,146.0
167,3192,555.0
168,3193,329.0
169,3194,221.0
170,3195,664.0
171,3196,518.0
172,3197,117.0
173,3198,198.0
174,3199,535.0
175,3200,21.0
176,3201,635.0
177,3202,8.0
178,3204,815.0
179,3205,95.0
180,3206,94.0
181,3207,80.0
182,3211,55.0
183,3212,1381.0
184,3222,1467.0
185,3223,781.0
186,3224,1324.0
187,3225,250.0
188,3226,1183.0
189,3227,429.0
190,3335,2161.0
191,3337,3051.0
192,3338,2998.0
193,3340,1838.0
194,3427,607.0
195,3428,20.0
196,3429,1727.0
197,3430,7.0
198,3431,265.0
199,3437,817.0
200,3458,122.0
201,3750,2052.0
202,3751,9.0
203,3752,1527.0
204,3753,621.0
205,3754,9536.0
206,3755,5.0
207,3757,511.0
208,3759,56.0
209,3760,23.0
210,3761,46.0
211,3763,155.0
212,3765,74.0
213,3766,19.0
214,3767,6.0
215,3770,55.0
216,3775,205.0
217,3777,261.0
218,3778,14.0
219,3781,65.0
220,3782,139.0
221,3783,110.0
222,3786,14.0
223,3787,5.0
224,3788,15.0
225,3789,4.0
226,3791,16.0
227,3792,21.0
228,3793,57.0
229,3795,22.0
230,3796,98.0
231,3802,185.0
232,3803,119.0
233,3804,199.0
234,3805,996.0
235,3806,2060.0
236,3807,260.0
237,3808,122.0
238,3809,2733.0
239,3810,5725.0
240,3812,67.0
241,3813,33.0
242,3814,130.0
243,3910,597.0
244,3911,51.0
245,3912,351.0
246,3913,113.0
247,3915,307.0
248,3916,88.0
249,3918,152.0
250,3919,78.0
251,3921,
252,3922,812.0
253,3923,58.0
254,3926,168.0
255,3927,114.0
256,3928,18.0
257,3929,79.0
258,3930,304.0
259,3931,742.0
260,3933,36.0
261,3934,600.0
262,3936,917.0
263,3937,87.0
264,3938,99.0
265,3939,688.0
266,3940,285.0
267,3941,359.0
268,3942,95.0
269,3943,78.0
270,3944,34.0
271,3945,74.0
272,3975,1497.0
273,3976,309.0
274,3977,10182.0
275,3978,5709.0
276,3979,18.0
277,3980,128.0
278,3981,383.0
279,3984,385.0
280,3990,15.0
281,3991,25.0
282,3992,83.0
283,3995,805.0
